记录ID,日期,人员姓名,人员角色,服务时长_小时,区域,活动类型,活动备注,复核状态
REC031,2026-06-03,张伟,执行者,9.5,朝阳区,义诊活动,服务28名居民,待复核
REC032,2026-06-03,李娜,执行者,5.0,海淀区,社区清洁,清扫4个小区,待复核
REC033,2026-06-03,王强,管理者,6.0,朝阳区,助老服务,,待复核
REC034,2026-06-03,赵敏,执行者,7.0,西城区,环境巡查,巡查6条河道,待复核
REC035,2026-06-03,陈刚,执行者,8.0,海淀区,助老服务,帮助20位老人购物,待复核
REC036,2026-06-03,刘芳,复核者,3.0,朝阳区,数据整理,,待复核
REC037,2026-06-03,黄磊,执行者,4.5,东城区,义诊活动,诊疗18人次,待复核
REC038,2026-06-03,周婷,执行者,10.0,西城区,社区清洁,清扫8个小区,待复核
REC039,2026-06-03,吴涛,管理者,2.5,东城区,义诊活动,,待复核
REC040,2026-06-03,孙丽,执行者,6.0,丰台区,助老服务,陪护10位老人,待复核
REC041,2026-06-03,马超,执行者,11.0,丰台区,社区清洁,清洁7条街道,待复核
REC042,2026-06-03,郑华,执行者,5.5,朝阳区,环境巡查,巡查4个公园,待复核
REC043,2026-06-03,林峰,复核者,2.0,海淀区,数据整理,,待复核
REC044,2026-06-03,何雪,执行者,3.0,西城区,助老服务,上门服务6户,待复核
REC045,2026-06-03,高远,执行者,7.5,东城区,环境巡查,巡查5条河道,待复核
